"Sample1","Sample2","Distance","Study1","Study2"
455891,455522,0.240138937928361,"SDY311","SDY113"
455892,455522,0.264761631451129,"SDY311","SDY113"
455893,455522,0.251280365668396,"SDY311","SDY113"
455894,455522,0.237158693652988,"SDY311","SDY113"
455895,455522,0.2117983779509,"SDY311","SDY113"
455896,455522,0.2383283172665,"SDY311","SDY113"
455897,455522,0.276782355352067,"SDY311","SDY113"
455898,455522,0.256565232944676,"SDY311","SDY113"
455899,455522,0.244082108542475,"SDY311","SDY113"
455900,455522,0.278868442574146,"SDY311","SDY113"
455902,455522,0.234085230365696,"SDY311","SDY113"
455903,455522,0.244233075729665,"SDY311","SDY113"
455904,455522,0.255547445705627,"SDY311","SDY113"
455905,455522,0.270761060825609,"SDY311","SDY113"
455906,455522,0.252169753816271,"SDY311","SDY113"
455907,455522,0.269080717431,"SDY311","SDY113"
455908,455522,0.230620091304892,"SDY311","SDY113"
455909,455522,0.284101654771452,"SDY311","SDY113"
455910,455522,0.309673543087645,"SDY311","SDY113"
455911,455522,0.261239276407232,"SDY311","SDY113"
455912,455522,0.263602639802806,"SDY311","SDY113"
455913,455522,0.278137515693052,"SDY311","SDY113"
455914,455522,0.259293829258001,"SDY311","SDY113"
455915,455522,0.237519893912454,"SDY311","SDY113"
455916,455522,0.259109919858226,"SDY311","SDY113"
455919,455522,0.19857896511422,"SDY311","SDY113"
455920,455522,0.250034151347731,"SDY311","SDY113"
455921,455522,0.229995273314091,"SDY311","SDY113"
455922,455522,0.203876182245298,"SDY311","SDY113"
455923,455522,0.274601359493591,"SDY311","SDY113"
455924,455522,0.224340199130693,"SDY311","SDY113"
455925,455522,0.244294919228434,"SDY311","SDY113"
455926,455522,0.22091890853147,"SDY311","SDY113"
455927,455522,0.232219237877609,"SDY311","SDY113"
455928,455522,0.260120512691879,"SDY311","SDY113"
455929,455522,0.259832173397661,"SDY311","SDY113"
455930,455522,0.302852323312463,"SDY311","SDY113"
455931,455522,0.258759503518907,"SDY311","SDY113"
455932,455522,0.244517042777592,"SDY311","SDY113"
455933,455522,0.268779106634846,"SDY311","SDY113"
455934,455522,0.253641613857153,"SDY311","SDY113"
455936,455522,0.217588438366865,"SDY311","SDY113"
455937,455522,0.225957714184689,"SDY311","SDY113"
455938,455522,0.187453195603455,"SDY311","SDY113"
455939,455522,0.23298486894954,"SDY311","SDY113"
455940,455522,0.246702366413097,"SDY311","SDY113"
455941,455522,0.264206857203406,"SDY311","SDY113"
455942,455522,0.193786899956019,"SDY311","SDY113"
455943,455522,0.246527617945273,"SDY311","SDY113"
455944,455522,0.274692498690657,"SDY311","SDY113"
455945,455522,0.254169326905704,"SDY311","SDY113"
455946,455522,0.2039401765282,"SDY311","SDY113"
455947,455522,0.20021600850435,"SDY311","SDY113"
455948,455522,0.215896503816264,"SDY311","SDY113"
499681,455522,0.231531511383886,"SDY315","SDY113"
499682,455522,0.153361109375025,"SDY315","SDY113"
499683,455522,0.149305851015742,"SDY315","SDY113"
499684,455522,0.124384904896756,"SDY315","SDY113"
499685,455522,0.1596600906236,"SDY315","SDY113"
499686,455522,0.153638387815235,"SDY315","SDY113"
499687,455522,0.156998441697911,"SDY315","SDY113"
499688,455522,0.130174379300395,"SDY315","SDY113"
499689,455522,0.120598794266036,"SDY315","SDY113"
499690,455522,0.187087910504059,"SDY315","SDY113"
499691,455522,0.221535885453296,"SDY315","SDY113"
499692,455522,0.176180409057243,"SDY315","SDY113"
499693,455522,0.202015240958171,"SDY315","SDY113"
499694,455522,0.155586854571917,"SDY315","SDY113"
499695,455522,0.154727499314639,"SDY315","SDY113"
499696,455522,0.148659431000345,"SDY315","SDY113"
499697,455522,0.15694883689515,"SDY315","SDY113"
499698,455522,0.173364213711506,"SDY315","SDY113"
499699,455522,0.18965855650093,"SDY315","SDY113"
499700,455522,0.163381368001276,"SDY315","SDY113"
499701,455522,0.180584034262774,"SDY315","SDY113"
499702,455522,0.164253864862442,"SDY315","SDY113"
499703,455522,0.165601895784518,"SDY315","SDY113"
499704,455522,0.221041518302304,"SDY315","SDY113"
499705,455522,0.161858021222094,"SDY315","SDY113"
499706,455522,0.184214431590765,"SDY315","SDY113"
499707,455522,0.168599944025171,"SDY315","SDY113"
499708,455522,0.151329498925266,"SDY315","SDY113"
499709,455522,0.182768684793211,"SDY315","SDY113"
499710,455522,0.153124240079972,"SDY315","SDY113"
499711,455522,0.170615154857025,"SDY315","SDY113"
499712,455522,0.175723512867609,"SDY315","SDY113"
499713,455522,0.17085983526439,"SDY315","SDY113"
499714,455522,0.205727769478298,"SDY315","SDY113"
499715,455522,0.188833314542311,"SDY315","SDY113"
499716,455522,0.136702697306442,"SDY315","SDY113"
499717,455522,0.123652866848835,"SDY315","SDY113"
499718,455522,0.126739483790903,"SDY315","SDY113"
499719,455522,0.213456763749275,"SDY315","SDY113"
499720,455522,0.172348441500356,"SDY315","SDY113"
