"tier","n_ref","repeat_id","ari","auc_both","auc_prop","auc_mean","recon_mse","ref_samples"
"Bottom 10%",2,31,0.857555658232917,0.682142857142857,0.752380952380952,0.554761904761905,0.00323653053038758,"92, 771"
"Bottom 10%",2,32,0.856674855285557,0.722619047619048,0.813095238095238,0.569047619047619,0.00278413846433967,"92, 230"
"Bottom 10%",2,33,0.864182659243289,0.646428571428571,0.732142857142857,0.596428571428571,0.00272019920456383,"525, 230"
"Bottom 10%",2,34,0.847729199814939,0.64047619047619,0.666666666666667,0.625,0.00283776901356369,"587, 224"
"Bottom 10%",2,35,0.86110839765183,0.654761904761905,0.754761904761905,0.634523809523809,0.00299478348637956,"587, 230"
"Bottom 10%",2,36,0.861650607483624,0.582142857142857,0.685714285714286,0.478571428571428,0.00319135141759128,"525, 770"
"Bottom 10%",2,37,0.837390642391287,0.605952380952381,0.698809523809524,0.573809523809523,0.00329990983537672,"92, 551"
"Bottom 10%",2,38,0.860415025984665,0.711904761904762,0.638095238095238,0.711904761904762,0.00307042362384443,"258, 92"
"Bottom 10%",2,39,0.853078577935059,0.727380952380952,0.747619047619048,0.666666666666667,0.00318866075641341,"251, 255"
"Bottom 10%",2,40,0.856750197135263,0.736904761904762,0.591666666666666,0.730952380952381,0.00260119640001831,"251, 770"
"Bottom 10%",2,41,0.851775400369139,0.670238095238095,0.733333333333334,0.609523809523809,0.00253463725276889,"771, 224"
"Bottom 10%",2,42,0.84935246420535,0.635714285714286,0.622619047619048,0.641666666666667,0.00310042617145131,"770, 92"
"Bottom 10%",2,43,0.861650607483624,0.582142857142857,0.685714285714286,0.478571428571428,0.00319135141759128,"525, 770"
"Bottom 10%",2,44,0.844967780498317,0.603571428571428,0.609523809523809,0.603571428571428,0.002701243839225,"230, 251"
"Bottom 10%",2,45,0.735502911511323,0.621428571428571,0.679761904761905,0.595238095238095,0.00276626401140698,"587, 251"
"Bottom 10%",2,46,0.799615622711313,0.670238095238095,0.767857142857143,0.603571428571428,0.0029225801620954,"230, 771"
"Bottom 10%",2,47,0.85641750282822,0.692857142857143,0.645238095238095,0.676190476190476,0.00280752193944989,"251, 551"
"Bottom 10%",2,48,0.735502911511323,0.621428571428571,0.679761904761905,0.595238095238095,0.00276626401140698,"587, 251"
"Bottom 10%",2,49,0.794609834819939,0.560714285714285,0.635714285714286,0.560714285714285,0.00292051254246615,"255, 771"
"Bottom 10%",2,50,0.859421508131077,0.679761904761905,0.644047619047619,0.654761904761905,0.00310237274297372,"551, 255"
"Bottom 10%",2,51,0.856774406455202,0.671428571428571,0.653571428571429,0.664285714285714,0.00291412900026552,"770, 250"
"Bottom 10%",2,52,0.849858874016637,0.704761904761905,0.746428571428572,0.633333333333333,0.00274408076909708,"250, 251"
"Bottom 10%",2,53,0.834350599564594,0.741666666666667,0.605952380952381,0.744047619047619,0.00290759394675239,"230, 258"
"Bottom 10%",2,54,0.834350599564594,0.741666666666667,0.605952380952381,0.744047619047619,0.00290759394675239,"258, 230"
"Bottom 10%",2,55,0.858648002617759,0.740476190476191,0.555952380952381,0.73452380952381,0.00269594777390376,"525, 224"
"Bottom 10%",2,56,0.853836462864742,0.666666666666667,0.622619047619048,0.65952380952381,0.00319414401684168,"92, 224"
