"tier","n_ref","repeat_id","auc_both","auc_prop","auc_mean","recon_mse","mean_r2","mean_cv","mean_sd_change","ref_samples"
"Top 10%",2,72,0.928571428571428,0.801587301587301,0.908730158730159,0.00514542865193848,0.47031341561028,0.839164254393106,0.0188363009962138,"521914, 521929"
"Top 10%",2,73,0.719576719576719,0.759259259259259,0.633597883597884,0.00449295622110174,0.524975850367211,0.88337664923883,0.0139964403224637,"511115, 521923"
"Top 10%",2,74,0.849206349206349,0.85978835978836,0.822751322751323,0.0053265430469596,0.509893118174076,0.835935245158692,0.02040859535656,"521949, 521932"
"Top 10%",2,75,0.968253968253968,0.917989417989418,0.951058201058201,0.00524489899262801,0.519754425531634,0.833187954874849,0.0193274629707335,"455948, 499711"
"Top 10%",2,76,0.853174603174603,0.814814814814815,0.794973544973545,0.0050520105339451,0.495961480770808,0.85174947923249,0.0175290935659883,"504159, 504109"
"Top 10%",2,77,0.915343915343915,0.861111111111111,0.854497354497354,0.00479799310157289,0.488898251424805,0.85646890430796,0.0179673727284243,"499733, 455552"
"Top 10%",2,78,0.846560846560846,0.838624338624339,0.739417989417989,0.00482967491454884,0.496348997957729,0.846764385601352,0.0177456093240705,"455552, 521467"
"Top 10%",2,79,0.742063492063492,0.903439153439153,0.513227513227513,0.00397205507284135,0.517511700701464,0.877444356716458,0.0141820016119726,"455578, 521467"
"Top 10%",2,80,0.907407407407408,0.865079365079365,0.851851851851852,0.00525128123307144,0.510585184822914,0.875037784049694,0.0146177594868947,"455948, 521939"
"Top 10%",2,81,0.912698412698413,0.935185185185185,0.878306878306878,0.00500697033120962,0.496772689378825,0.87471313082385,0.0141632200400073,"504115, 455552"
"Top 10%",2,82,0.85978835978836,0.80026455026455,0.83994708994709,0.00531572335851996,0.478995423952046,0.850992874192632,0.0169371930885281,"504112, 521929"
"Top 10%",2,83,0.838624338624339,0.898148148148148,0.82010582010582,0.00417995917034282,0.503017307647142,0.874413276084962,0.0148207045133288,"511110, 521939"
"Top 10%",2,84,0.965608465608466,0.914021164021164,0.91005291005291,0.00443956197278794,0.471959617946813,0.858641580023236,0.015922861108374,"499711, 521945"
"Top 10%",2,85,0.921957671957672,0.878306878306878,0.892857142857143,0.00482595938065654,0.512110597081913,0.859027161262893,0.0166603777299546,"455948, 521965"
"Top 10%",2,86,0.914021164021164,0.866402116402116,0.888888888888889,0.00532891502299208,0.503833898682385,0.817717670620317,0.0214514326272814,"504113, 455948"
"Top 10%",2,87,0.837301587301587,0.82936507936508,0.792328042328042,0.00479429550611225,0.522460481323847,0.85468223542464,0.016771242606709,"499715, 521497"
"Top 10%",2,88,0.933862433862434,0.869047619047619,0.85978835978836,0.00463522004862166,0.481672583000096,0.876945878675422,0.0152278128627665,"504161, 499693"
"Top 10%",2,89,0.801587301587302,0.932539682539683,0.806878306878306,0.0048101509044262,0.513514421391849,0.864046601450853,0.0159286291392709,"455942, 521929"
"Top 10%",2,90,0.87962962962963,0.826719576719577,0.847883597883598,0.0049046268934532,0.463459896052944,0.851156260660044,0.0175991943620854,"455578, 521941"
"Top 10%",2,91,0.818783068783069,0.873015873015873,0.62037037037037,0.00456919517318646,0.497490027226889,0.862216078988344,0.0166230051211672,"521497, 521932"
"Top 10%",2,92,0.941798941798942,0.945767195767196,0.91005291005291,0.00440462563177757,0.492464492127321,0.877139650627837,0.0140715924365686,"521929, 455578"
"Top 10%",2,93,0.902116402116402,0.908730158730158,0.875661375661376,0.00444800158581916,0.457447618461518,0.854981171452351,0.0167256440170124,"521965, 499711"
"Top 10%",2,94,0.846560846560846,0.67989417989418,0.849206349206349,0.00503789219627697,0.459117831795754,0.826271967062546,0.0197513982604937,"499712, 499715"
"Top 10%",2,95,0.953703703703704,0.883597883597884,0.907407407407408,0.00491616241543879,0.418586486221655,0.877192431538794,0.0142257786623365,"521923, 521933"
"Top 10%",2,96,0.791005291005291,0.677248677248677,0.80952380952381,0.00447366230831344,0.505949297793515,0.844532797708786,0.0174176744095248,"499712, 511122"
"Top 10%",2,97,0.891534391534391,0.880952380952381,0.878306878306878,0.00504371053673556,0.526313565619414,0.839157912580605,0.0182503199922881,"521931, 455948"
"Top 10%",2,98,0.878306878306878,0.80026455026455,0.857142857142857,0.00474403795182622,0.476320739902153,0.852546401277359,0.0170976132895596,"521930, 521914"
"Top 10%",2,99,0.874338624338624,0.933862433862434,0.845238095238095,0.00467280942502274,0.512134943468654,0.865119851850306,0.0166522765019421,"521954, 499712"
"Top 10%",2,100,0.824074074074074,0.916666666666667,0.798941798941799,0.004135912349251,0.432588007602227,0.874946467985348,0.0148556789771746,"511114, 521929"
"Bottom 10%",2,1,0.666666666666667,0.891534391534392,0.462962962962963,0.00471840459589311,0.464188025397045,0.872331941653737,0.0129124638731986,"499681, 521477"
"Bottom 10%",2,2,0.898148148148148,0.900793650793651,0.8505291005291,0.00487056088194786,0.479868379100412,0.881237028901865,0.0119511565463105,"499681, 499683"
"Bottom 10%",2,3,0.923280423280423,0.904761904761904,0.958994708994709,0.00462412308310534,0.4424009991773,0.859280064552966,0.0162946423404165,"499737, 521907"
"Bottom 10%",2,4,0.883597883597884,0.734126984126984,0.89021164021164,0.00495585016349217,0.505700019000025,0.872508433378019,0.0128515159005085,"499682, 521474"
"Bottom 10%",2,5,0.854497354497354,0.787037037037037,0.772486772486773,0.00505967927414967,0.495350291421923,0.872512815700812,0.0140636428427119,"499716, 499719"
"Bottom 10%",2,6,0.907407407407407,0.903439153439153,0.928571428571428,0.00397244436684358,0.482473161553682,0.866487302756962,0.0142882970443543,"499701, 521442"
