"cells_per_sample","sample_id","ari","n_cells_actual"
7000,"390",0.66413608904466,7000
7000,"406",0.599036153105495,7000
7000,"409",0.644247079232872,7000
7000,"413",0.69281485115424,7000
7000,"428",0.763186737582003,7000
7000,"437",0.58432420251288,7000
7000,"440",0.658090823668175,7000
7000,"442",0.541729900594323,7000
7000,"446",0.680883762810144,7000
7000,"465",0.792830526089024,7000
7000,"501",0.595037236804179,7000
7000,"520",0.714806099222492,7000
7000,"525",0.46980781101271,6443
7000,"528",0.668793690149927,7000
7000,"551",0.860416625837483,7000
7000,"586",0.636227386941697,7000
7000,"587",0.599963981115484,7000
7000,"591",0.604514812844584,7000
7000,"603",0.619507499275776,7000
7000,"608",0.606527258853804,7000
7000,"621",0.701372944588867,7000
7000,"625",0.645938852993977,7000
7000,"628",0.579161652148111,7000
7000,"633",0.689850134279677,7000
7000,"674",0.645687039661862,7000
7000,"679",0.755164490154984,7000
7000,"702",0.543513720744097,7000
7000,"710",0.616366552367014,7000
7000,"711",0.600469401425263,7000
7000,"715",0.648360730567936,7000
7000,"717",0.621089190979966,7000
7000,"719",0.588483614577188,7000
7000,"723",0.572944017946467,7000
7000,"732",0.555662183701614,7000
7000,"737",0.56776791629046,7000
7000,"739",0.567906312187813,7000
7000,"740",0.626279859606031,7000
7000,"747",0.647257345343777,7000
7000,"750",0.51428913570487,7000
7000,"761",0.644747097975865,7000
7000,"767",0.614423017568775,7000
7000,"768",0.525906656601027,7000
7000,"770",0.647182510013433,7000
7000,"771",0.602524111363184,7000
7000,"774",0.642933826031799,7000
7000,"776",0.804492857232068,7000
7000,"777",0.598071722381743,7000
7000,"791",0.651630826381531,7000
7000,"801",0.702946315468509,7000
7000,"804",0.671617019104178,7000
7000,"805",0.634095892049954,7000
7000,"867",0.698659603275113,7000
7000,"868",0.622724091415392,7000
7000,"872",0.602119114901884,7000
7000,"880",0.501334013800035,7000
7000,"894",0.626452447072916,7000
7000,"940",0.715547200328219,7000
7000,"941",0.755903625835243,7000
8000,"87",0.851512106872525,8000
8000,"88",0.819534741227645,8000
8000,"89",0.919759928284245,8000
8000,"92",0.889301796594452,8000
8000,"96",0.855484335110103,8000
8000,"97",0.840498212884613,8000
8000,"103",0.875127976266748,8000
8000,"152",0.836785600224339,8000
8000,"154",0.900511703029016,8000
8000,"167",0.762744439470834,8000
8000,"169",0.886611530330077,8000
8000,"171",0.746584244166692,8000
8000,"173",0.897638374593227,8000
8000,"204",0.857486486238215,8000
8000,"208",0.882251826560687,8000
8000,"211",0.859040915966714,8000
8000,"213",0.878214062471018,8000
8000,"214",0.889161619732997,8000
8000,"215",0.853633197759096,8000
8000,"223",0.879290806635885,8000
8000,"224",0.905761081215746,8000
8000,"229",0.914834545260752,8000
8000,"230",0.887665124497833,8000
8000,"231",0.892559269624554,8000
8000,"232",0.906987371503341,8000
8000,"236",0.886509278962249,8000
8000,"241",0.850233096077221,8000
8000,"245",0.821937750901206,8000
8000,"246",0.881317475757198,8000
8000,"250",0.866368052283064,8000
8000,"251",0.909974686916697,8000
8000,"255",0.898272454065638,8000
8000,"257",0.901841217321061,8000
8000,"258",0.849637512964004,8000
8000,"259",0.927244372381897,8000
8000,"260",0.873872788679851,8000
8000,"264",0.874787535421949,8000
8000,"270",0.909251288115692,8000
8000,"276",0.913976441402668,8000
8000,"288",0.879121310909934,8000
